id;createdAt;updatedAt;nome;valuta;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09
45;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Zucchine bio - ns;€/Kg;0,83;0,79;0,91;1,10;1,06;0,85;0,74;0,60;0,46;0,81;0,79;0,70;0,68;0,63
46;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Angurie bio - ns;€/Kg;0,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,43;0,42;0,00
47;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Cetrioli bio - ns;€/Kg;0,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,05;1,05;1,00;0,00
48;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pere da tavola bio - Guyot;€/Kg;1,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,28;1,28;0,00
49;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Susine bio - Black gold;€/Kg;1,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,35;1,35;0,00
50;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Susine bio - Fortune;€/Kg;1,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,30;1,30;0,00
51;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Susine bio - Globe Sun;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,25;0,00
52;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Susine bio - Obilnaja;€/Kg;1,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,35;1,35;0,00
53;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Susine bio - Stanley;€/Kg;1,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,05;0,00
54;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Susine bio - Tc sun;€/Kg;1,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,35;0,00
